tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,monh
371,3/1/2020 10:44,3/1/2020 10:51,3677,Glenwood Ave,40.72755147,-74.07106072,3195,Sip Ave,40.7308971,-74.06391263,42235,Subscriber,1998,1,3
409,3/1/2020 10:48,3/1/2020 10:54,3199,Newport Pkwy,40.7287448,-74.0321082,3186,Grove St PATH,40.71958612,-74.04311746,42391,Subscriber,1984,1,3
1322,3/1/2020 10:48,3/1/2020 11:10,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,42625,Subscriber,1988,1,3
306,3/1/2020 10:48,3/1/2020 10:53,3269,Brunswick & 6th,40.72601173,-74.05038893,3211,Newark Ave,40.72152515,-74.04630454,42111,Subscriber,1979,1,3
163,3/1/2020 10:54,3/1/2020 10:57,3279,Dixon Mills,40.72163014,-74.04996783,3186,Grove St PATH,40.71958612,-74.04311746,42160,Subscriber,1981,1,3
3211,3/1/2020 10:56,3/1/2020 11:49,3202,Newport PATH,40.7272235,-74.0337589,3638,Washington St,40.7242941,-74.0354826,42219,Customer,1969,0,3
189,3/1/2020 10:59,3/1/2020 11:02,3209,Brunswick St,40.7241765,-74.0506564,3211,Newark Ave,40.72152515,-74.04630454,42349,Subscriber,1984,1,3
186,3/1/2020 10:59,3/1/2020 11:02,3209,Brunswick St,40.7241765,-74.0506564,3211,Newark Ave,40.72152515,-74.04630454,42356,Subscriber,1988,2,3
248,3/1/2020 11:04,3/1/2020 11:09,3211,Newark Ave,40.72152515,-74.04630454,3272,Jersey & 3rd,40.72333159,-74.04595256,42260,Customer,1994,2,3
165,3/1/2020 11:05,3/1/2020 11:08,3186,Grove St PATH,40.71958612,-74.04311746,3187,Warren St,40.7211236,-74.03805095,42391,Subscriber,1972,1,3
535,3/1/2020 11:08,3/1/2020 11:17,3187,Warren St,40.7211236,-74.03805095,3206,Hilltop,40.7311689,-74.0575736,42601,Subscriber,1968,1,3
200,3/1/2020 11:10,3/1/2020 11:13,3276,Marin Light Rail,40.71458404,-74.04281706,3214,Essex Light Rail,40.7127742,-74.0364857,42385,Subscriber,1984,2,3
383,3/1/2020 11:10,3/1/2020 11:16,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.7308971,-74.06391263,42264,Subscriber,1978,1,3
410,3/1/2020 11:10,3/1/2020 11:17,3280,Astor Place,40.7192822,-74.07126188,3195,Sip Ave,40.7308971,-74.06391263,42157,Subscriber,1988,1,3
320,3/1/2020 11:12,3/1/2020 11:18,3639,Harborside,40.7192517,-74.034234,3186,Grove St PATH,40.71958612,-74.04311746,42339,Subscriber,1986,1,3
502,3/1/2020 11:13,3/1/2020 11:21,3210,Pershing Field,40.74267714,-74.05178863,3195,Sip Ave,40.7308971,-74.06391263,42423,Subscriber,1995,2,3
762,3/1/2020 11:13,3/1/2020 11:26,3275,Columbus Drive,40.7183552,-74.03891444,3272,Jersey & 3rd,40.72333159,-74.04595256,42298,Subscriber,1989,1,3
439,3/1/2020 11:14,3/1/2020 11:21,3269,Brunswick & 6th,40.72601173,-74.05038893,3681,Grand St,40.71517768,-74.03768331,42109,Customer,1969,0,3
79,3/1/2020 11:16,3/1/2020 11:17,3638,Washington St,40.7242941,-74.0354826,3202,Newport PATH,40.7272235,-74.0337589,42277,Subscriber,1990,1,3
394,3/1/2020 11:18,3/1/2020 11:24,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.7308971,-74.06391263,42352,Subscriber,1994,1,3
142,3/1/2020 11:20,3/1/2020 11:22,3639,Harborside,40.7192517,-74.034234,3275,Columbus Drive,40.7183552,-74.03891444,42503,Subscriber,1984,1,3
